person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,monthly_payment_approx,debt_to_monthly_income,loan_grade_numeric,grade_rate_risk,is_homeowner,had_default
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,27.77777777777778,0.034722222222222224,2,22.28,1,0
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,152.77777777777777,0.1909722222222222,3,38.61,1,0
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,972.2222222222222,0.178117048346056,3,45.69,0,0
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,972.2222222222222,0.2144607843137255,3,42.81,0,1
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,69.44444444444444,0.08417508417508417,1,7.14,1,0
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,972.2222222222222,0.15131863380890617,2,24.84,0,0
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,972.2222222222222,0.14776162250705033,2,22.22,0,0
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,972.2222222222222,0.14056224899598393,1,8.9,0,0
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,44.44444444444444,0.05333333333333333,4,58.96,1,0
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,972.2222222222222,0.13725490196078433,2,20.74,0,0
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,125.0,0.15,1,8.63,1,0
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,972.2222222222222,0.12280701754385964,1,7.9,0,0
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,972.2222222222222,0.10786489151873765,5,91.95,0,0
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,972.2222222222222,0.10144927536231883,1,7.9,0,0
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,833.3333333333334,0.02,2,21.3,1,0
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,972.2222222222222,0.09722222222222222,1,7.9,0,0
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,972.2222222222222,0.12665877763423114,6,121.5,0,0
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,972.2222222222222,0.10324483775811209,4,73.0,0,0
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,48.611111111111114,0.05401234567901235,2,21.98,1,0
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,972.2222222222222,0.07179487179487179,1,7.49,0,0
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,966.6666666666666,0.08467153284671533,5,83.85,0,1
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,944.4444444444445,0.17435897435897435,4,70.32,0,0
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,41.666666666666664,0.04553734061930783,1,7.29,1,0
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,943.0555555555555,0.14145833333333332,4,58.16,0,1
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,916.6666666666666,0.16237121010834588,3,38.04,0,0
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,127.08333333333333,0.13863636363636364,5,88.69999999999999,1,1
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,38.888888888888886,0.04242424242424242,1,9.32,1,0
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,902.7777777777778,0.16666666666666666,2,19.98,0,0
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,111.11111111111111,0.11707202856557497,3,38.519999999999996,0,1
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,55.55555555555556,0.05787037037037037,2,22.24,1,0
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,888.8888888888889,0.08888888888888889,1,6.62,0,0
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,862.5,0.10894736842105263,3,42.51,0,1
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,673.6111111111111,0.026416122004357296,3,41.55,0,0
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,216.66666666666666,0.008666666666666666,3,40.47,1,0
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,69.44444444444444,0.06944444444444445,1,7.51,1,0
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,833.3333333333334,0.20833333333333334,5,91.95,0,0
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,833.3333333333334,0.15625000000000003,4,58.16,0,1
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,833.3333333333334,0.13333333333333333,4,67.56,0,1
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,833.3333333333334,0.13986013986013987,4,43.96,0,0
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,833.3333333333334,0.16116035455278002,5,89.94999999999999,0,0
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,69.44444444444444,0.06944444444444445,2,25.38,1,0
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,555.5555555555555,0.022222222222222223,1,7.88,1,0
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,673.6111111111111,0.026944444444444444,6,116.46000000000001,1,1
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,277.77777777777777,0.011111111111111112,2,20.76,1,0
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,694.4444444444445,0.02777777777777778,4,61.32,1,0
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,500.0,0.02,5,82.25,1,0
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,833.3333333333334,0.12393109431156277,1,7.49,0,0
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,833.3333333333334,0.1508295625942685,2,25.38,0,0
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,833.3333333333334,0.11232421260726963,1,6.62,0,0
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,833.3333333333334,0.12820512820512822,4,43.96,0,1
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,833.3333333333334,0.12820512820512822,6,111.72,0,1
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,833.3333333333334,0.10869092648145734,3,45.69,0,1
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,833.3333333333334,0.10309278350515465,2,21.3,0,0
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,833.3333333333334,0.08333333333333334,1,7.9,0,0
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,277.77777777777777,0.011904761904761906,3,47.88,0,1
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,555.5555555555555,0.024058355948187924,2,22.96,0,0
23,277000,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,972.2222222222222,0.0421179302045728,1,10.99,1,0
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,833.3333333333334,0.07812500000000001,1,7.29,0,0
24,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,48.611111111111114,0.04861111111111111,5,54.95,1,1
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,833.3333333333334,0.07633587786259542,1,5.99,0,0
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,333.3333333333333,0.014545454545454544,2,23.16,1,0
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,277.77777777777777,0.012674271229404309,2,21.98,1,0
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,694.4444444444445,0.0375629178874615,4,62.8,1,0
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,808.3333333333334,0.1385714285714286,4,63.96,0,0
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,41.666666666666664,0.041666666666666664,4,59.36,1,1
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,777.7777777777778,0.035897435897435895,2,21.98,1,0
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,555.5555555555555,0.025740025740025742,4,57.68,1,1
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,266.6666666666667,0.012549019607843138,1,6.99,1,0
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,694.4444444444445,0.03333333333333333,3,40.47,0,0
25,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,83.33333333333333,0.08333333333333333,3,32.97,1,0
22,56950,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,777.7777777777778,0.16388645010242905,1,10.99,0,0
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,83.33333333333333,0.08333333333333333,3,40.83,1,1
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,777.7777777777778,0.14358974358974358,1,7.9,0,0
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,777.7777777777778,0.10980392156862746,1,7.49,0,0
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,169.44444444444446,0.16944444444444445,1,7.51,1,0
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,777.7777777777778,0.10606060606060608,2,19.82,0,0
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,116.66666666666667,0.11666666666666667,3,40.44,1,1
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,131.94444444444446,0.13194444444444445,1,7.14,1,0
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,777.7777777777778,0.11244438019051291,4,63.96,0,1
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,500.0,0.024,3,38.94,0,1
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,777.7777777777778,0.09333333333333334,2,25.38,0,0
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,777.7777777777778,0.08484848484848485,1,8.9,0,0
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,75.0,0.075,1,10.99,1,0
22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,777.7777777777778,0.08641975308641976,2,21.98,0,0
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,777.7777777777778,0.0617283950617284,2,22.22,0,0
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,766.6666666666666,0.13333333333333333,1,10.99,0,0
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,90.27777777777777,0.09027777777777778,5,78.4,1,1
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,763.8888888888889,0.13095238095238096,3,39.18,0,1
22,240000,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,694.4444444444445,0.034722222222222224,2,21.98,1,0
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,751.3888888888889,0.12317850637522769,4,62.48,0,1
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,750.0,0.10843373493975904,3,40.47,0,1
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,750.0,0.12261747435251162,4,43.96,0,0
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,722.2222222222222,0.13866666666666666,2,23.42,0,0
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,711.1111111111111,0.07111111111111111,2,25.38,0,0
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,44.44444444444444,0.04314994606256742,3,40.71,1,0
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,707.6388888888889,0.14152777777777778,2,21.98,0,0
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,555.5555555555555,0.02849002849002849,3,42.81,1,1
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,555.5555555555555,0.02849002849002849,2,17.76,1,0
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,600.0,0.03076923076923077,2,24.36,1,0
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,330.55555555555554,0.01794839309092445,4,57.68,1,1
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,694.4444444444445,0.035842293906810034,3,42.51,1,1
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,972.2222222222222,0.05072463768115942,3,41.97,1,0
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,702.7777777777778,0.10160642570281125,2,21.98,0,0
